Predictor	Category
Effluent	Anthropogenic
Sedimentation	Anthropogenic
New_Development	Anthropogenic
Habitat_Modification	Anthropogenic
Invasive_Algae	Anthropogenic
Fishing_Comm_Total	Anthropogenic
Fishing_NonComm_Boat_Total	Anthropogenic
Fishing_NonComm_Shore_Line	Anthropogenic
Fishing_NonComm_Shore_Net	Anthropogenic
Fishing_NonComm_Shore_Spear	Anthropogenic
SST_CLIM_M	Biophysical
SST_STD	Biophysical
CHL_CLIM_M	Biophysical
CHL_ANOM_F	Biophysical
PAR_CLIM_M	Biophysical
PAR_STD	Biophysical
WAV_CLIM_M	Biophysical
WAV_ANOM_F	Biophysical
Complexity	Biophysical
Depth	Biophysical
