id_spatial	Long	Lat	Island	Coral	CCA	Turf	Macro	Other	Grazers	Scrapers	Browsers	Predators	Secondary	Effluent	Sedimentation	New_Development	Habitat_Modification	Invasive_Algae	Fishing_Comm_Total	Fishing_NonComm_Boat_Total	Fishing_NonComm_Shore_Line	Fishing_NonComm_Shore_Net	Fishing_NonComm_Shore_Spear	SST_CLIM_M	SST_STD	CHL_CLIM_M	CHL_ANOM_F	PAR_CLIM_M	PAR_STD	WAV_CLIM_M	WAV_ANOM_F	Complexity	Depth	Regime	Regime1	Regime2	Regime3	Regime5
4	-157,3077275	21,10671731	Molokai	1,023890785	1,706484677	77,81569971	18,08873715	1,023890786	1,324986377	0,153250226	0,163842618	0	3,393998425	0	0,0755944	0,0042496	0	0	0,0138169	0,3966144	5,6224241	3,671531	0,3731112	27,474	0,956713	0,121299997	0,023700001	52,64339828	8,562800407	36,54216003	0,083878003	4,889608225	2,8	1	1	0	0	0
5	-157,3049856	21,11349657	Molokai	3,555555556	1,333333333	83,55555556	9,777777778	0,888888889	0,890407173	0	0,248076171	0	2,872682766	0	0,2613178	0,0040226	0	0	0,0138169	0,3868729	0	0	0,3648387	27,474	0,956713	0,121299997	0,023700001	52,64339828	8,562800407	36,54216003	0,083878003	3,793523485	7,3152	1	1	0	0	0
6	-157,3033057	21,12481435	Molokai	17,62055457	6,34883552	44,87576002	25,71652479	4,836712197	4,628477314	0,143308982	5,420154326	1,347466416	2,2389951	0	0,3816837	0,0035732	0	0	0,0138169	0,3774067	0	0	0,3091392	27,474	0,956713	0,115400001	0,059300002	53,95420074	9,429599762	38,00786591	0,084089004	5,275937861	11,5	2	0	1	0	0
8	-157,2999378	21,14829708	Molokai	0,67567571	1,351351318	86,48648651	0,337837804	5,743243281	0,069127893	0	0	0	3,34115985	0	0,1353924	0,000406	0	0	0,0138169	0,353853	0	0	0,0599429	27,474	0,956713	0,115400001	0,059300002	53,95420074	9,429599762	39,139775	0,087039	2,511287943	29,1	1	1	0	0	0
9	-157,3002856	21,12889657	Molokai	4	3,111111111	53,33333333	17,33333333	21,77777778	11,77500026	0	1,655366161	0,967914173	8,41108237	0	0,5771379	0,0037936	0	0	0,0138169	0,3697817	0	0	0,3426742	27,474	0,956713	0,115400001	0,059300002	53,95420074	9,429599762	40,58780289	0,084931999	6,865359052	10,0584	2	0	1	0	0
10	-157,2972856	21,09039657	Molokai	3,555555556	1,777777778	30,66666667	6,666666667	54,22222222	14,32687699	0	0	0	6,787825082	0	0,0035298	0,002394	0	0	0,0138169	0,4085172	0	0	0,2218467	27,394	0,945199	0,121299997	0,023700001	52,64339828	8,562800407	16,75705147	0,086828001		10,9728	1	1	0	0	0
11	-157,2932601	21,14013176	Molokai	1,646488467	5,7519654	72,91933088	6,255241106	12,8595388	0,981644099	0,300271238	0,299841468	4,983297596	4,953861157	438,5603027	3,367408	0,003930267	0	0	0,0138169	0,350478567	5,9971676	0	0,3580008	27,543	0,942912	0,115400001	0,059300002	53,95420074	9,429599762	36,3455658	0,084509999	3,527317467	7,3152	2	0	1	0	0
12	-157,2923305	21,14505178	Molokai	2,898550863	2,415458951	87,43961333	5,314009711	0,48309181	3,925021867	0	0	0	1,548993437	551,7371826	2,2977691	0,0037936	0	0	0,0138169	0,3460935	0	0	0,3136182	27,543	0,942912	0,115400001	0,059300002	53,95420074	9,429599762	36,3455658	0,084509999	9,274512833	12,1	1	1	0	0	0
13	-157,2919945	21,14264047	Molokai	4,87804877	16,02787459	74,91289191	0	0,348432069	7,580222223	37,7681199	17,26089228	0	20,00335462	551,7371826	3,2841206	0,0045399	0	0	0,0138169	0,3464453	8,9957514	3,671531	0,3717967	27,543	0,942912	0,115400001	0,059300002	53,95420074	9,429599762	36,3455658	0,084509999	12,03010464	3,2	3	0	0	1	0
14	-157,2829786	21,15869198	Molokai	0,675675709	0	86,82432433	7,770270301	2,027027026	4,795837337	1,495110956	0,349691242	0	6,947986452	1839,123901	0,0164215	0,0069565	0	0	0,0138169	0,3219887	0	0	0,3152983	27,075	0,975189	0,115400001	0,059300002	53,95420074	9,429599762	37,14231491	0,083246	4,736315871	15,2	1	1	0	0	0
16	-157,2798782	21,1668133	Molokai	1,158301204	0,772200802	88,41698836	0	8,880308826	65,63214895	67,58945885	35,12757586	0	17,54660719	834,6793213	0,0006014	0,0024857	0	0	0,0138169	0,3118996	0	0	0,2082558	27,075	0,975189	0,115400001	0,059300002	53,95420074	9,429599762	37,462277	0,086407	4,558561184	21,2	3	0	0	1	0
17	-157,2724272	21,16732469	Molokai	0	0,359712224	41,23261394	4,158273391	53,17026379	0	0	0	0	0,480651837	2942,598145	0,4122588	0,0074864	0	0	0,0138169	0,3003148	0	0	0,3250057	27,075	0,975189	0,115400001	0,059300002	53,95420074	9,429599762	36,64268875	0,080926999	2,857134952	12	1	1	0	0	0
18	-157,2777856	21,08899657	Molokai	8	1,333333333	75,55555556	1,333333333	11,55555556	39,13171798	2,281026375	2,582520377	4,867141023	23,54671086	0	0,4608273	0,0026359	0	0	0,0138169	0,4162094	0,224846	0	0,2281208	27,394	0,945199	0,085500002	0,124499999	54,46559906	9,267299652	11,52057457	0,097998001		7,3152	2	0	1	0	0
20	-157,2590227	21,1973956	Molokai	1,33333335	3,748858432	58,01826482	29,7625571	6,118721463	13,83729584	12,60196715	8,349407869	12,32902241	7,97929704	2744,538818	0,3453849	0,0013927	0	0	0,0138169	0,2622381	0	0	0,1442794	27,075	0,975189	0,115400001	0,059300002	53,95420074	9,429599762	39,547331	0,079663	8,464177352	22	2	0	1	0	0
21	-157,2670544	21,08289425	Molokai	54,5	5,6	16,3	7,3	15,9	3,444471308	10,67217865	0,018985024	6,912800068	5,548407493	0	0,20129385	0,0008023	0	0	0,0138169	0,42125165	0	0	0,26107475	27,394	0,945199	0,085500002	0,124499999	54,46559906	9,267299652	10,60278606	0,100527003		13	5	0	0	0	1
22	-157,2568335	21,17287409	Molokai	0	1,7241379	78,2758621	5,862069	13,7931034	20,99068435	0,25275607	3,128316642	0	16,45963595	2136,213135	3,6826212	0,0246409	0	0	0,0138169	0,2747828	8,9957514	3,671531	0,3721889	27,075	0,975189	0,115400001	0,059300002	53,95420074	9,429599762	32,994586	0,079241	7,060910388	4,6	1	1	0	0	0
23	-157,2629856	21,08689657	Molokai	11,55555556	0,888888889	56	8	22,66666667	0,860186775	0	0,895632752	0	4,254948674	0	0,2957751	0,002428	0	0	0,0138169	0,4248002	0,224846	2,2946024	0,3696595	27,394	0,945199	0,085500002	0,124499999	54,46559906	9,267299652	9,819723129	0,115068004		7,3152	1	1	0	0	0
25	-157,2549765	21,18242233	Molokai	1,742160245	0,696864138	91,63763054	5,226480935	0,348432069	0,05307933	1,130496721	0	0	1,532587031	4852,45752	7,3984771	0,0214289	0	0	0,0138169	0,2670578	5,6224241	0	0,3342443	27,075	0,975189	0,115400001	0,059300002	53,95420074	9,429599762	31,117471	0,085353	1,975975497	11,6	1	1	0	0	0
